2020-07-08 08:50:42.758 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - No active profile set, falling back to default profiles: default
2020-07-08 08:50:43.062 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-08 08:50:43.062 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-08 08:50:43.063 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-08 08:50:43.063 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-08 08:50:43.072 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo] - Initializing Spring embedded WebApplicationContext
2020-07-08 08:50:43.072 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 311 ms
2020-07-08 08:50:43.163 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 08:50:43.177 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-07-08 08:50:43.244 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-08 08:50:43.252 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-08 08:50:43.257 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/demo'
2020-07-08 08:50:43.260 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Started SpringBootDemo10MybatisApplication in 0.537 seconds (JVM running for 113.99)
2020-07-08 08:50:43.261 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-07-08 08:50:51.864 [Thread-496] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-08 08:50:52.772 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Starting SpringBootDemo10MybatisApplication on DESKTOP-JM6IDBQ with PID 11720 (E:\MyEclipse\spring-\spring-boot-demo10-mybatis2\target\classes started by sff in E:\MyEclipse\spring-\spring-boot-demo10-mybatis2)
2020-07-08 08:50:52.772 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - No active profile set, falling back to default profiles: default
2020-07-08 08:50:53.017 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-08 08:50:53.018 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-08 08:50:53.018 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-08 08:50:53.018 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-08 08:50:53.027 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo] - Initializing Spring embedded WebApplicationContext
2020-07-08 08:50:53.027 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 253 ms
2020-07-08 08:50:53.103 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 08:50:53.116 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-07-08 08:50:53.168 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-08 08:50:53.179 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-08 08:50:53.183 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/demo'
2020-07-08 08:50:53.186 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Started SpringBootDemo10MybatisApplication in 1.283 seconds (JVM running for 123.915)
2020-07-08 08:50:53.187 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-07-08 08:51:08.817 [Thread-660] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-08 08:51:08.887 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Starting SpringBootDemo10MybatisApplication on DESKTOP-JM6IDBQ with PID 11720 (E:\MyEclipse\spring-\spring-boot-demo10-mybatis2\target\classes started by sff in E:\MyEclipse\spring-\spring-boot-demo10-mybatis2)
2020-07-08 08:51:08.888 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - No active profile set, falling back to default profiles: default
2020-07-08 08:51:09.158 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-08 08:51:09.158 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-08 08:51:09.158 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
